bsp_IP,bsp_IP2
01/01/2010,27
10/03/2010,24.04056419
16/03/2010,64.16497937
21/03/2010,9.168337761
07/04/2010,17.41350056
08/05/2010,103.9924279
09/05/2010,41.79336326
13/05/2010,51.20998186
05/06/2010,30
10/06/2010,127.2033757
13/06/2010,233.3948632
12/07/2010,10.4287971
16/07/2010,56.10225058
20/07/2010,8.525927984
21/07/2010,48
03/08/2010,201.71022
04/08/2010,12.72905816
18/08/2010,18.02270618
02/09/2010,39.08386204
06/09/2010,33.87522849
14/09/2010,59.312404
18/09/2010,205.8916692
23/09/2010,30.89772167
30/10/2010,30
15/01/2011,60
10/02/2011,214.14
09/03/2011,61.93031385
07/04/2011,19.34699351
15/04/2011,29
23/04/2011,74.05378427
29/04/2011,60
06/05/2011,225.7332415
13/05/2011,41.65120352
13/05/2011,7.705571453
20/05/2011,61.01674372
09/06/2011,66.07663881
11/06/2011,18.41674799
06/07/2011,36
27/07/2011,16.06795689
01/08/2011,60
19/08/2011,8.732388967
25/08/2011,43.73345785
26/08/2011,10.51421672
29/08/2011,45.72677982
30/08/2011,160
03/09/2011,6.4
10/09/2011,54.84765619
14/10/2011,13.98550771
14/10/2011,14.23928939
15/10/2011,34
21/10/2011,99.88289681
27/10/2011,159.7717009
29/10/2011,16.66247265
27/11/2011,246.5983504
28/11/2011,54.17334576
30/11/2011,227.8619823
02/12/2011,9.360895544
09/12/2011,10.51924561
05/01/2012,10
19/01/2012,138.3504406
11/02/2012,65.33863284
15/02/2012,25.24318082
17/03/2012,40.00023493
24/03/2012,120
10/04/2012,60
19/04/2012,119.838139
09/06/2012,4.843053934
23/06/2012,18.39956096
26/06/2012,34.31111881
27/06/2012,23.14984532
11/07/2012,28.91331268
20/07/2012,15.55038715
23/07/2012,12.38265989
27/07/2012,33.32513442
06/08/2012,32
19/08/2012,75.26462821
21/08/2012,152.2106807
27/08/2012,27.61908053
26/09/2012,44
29/09/2012,18.3859149
21/10/2012,59.65918417
