bsp_IP,isp_IP
1,108.387767
2,127.2560645
3,115.9158371
4,120.4144617
5,119.4485743
6,109.8281875
7,113.5843731
8,115.279882
9,109.8783026
10,113.4205078
11,123.9373052
12,109.0254242
13,113.0057421
14,112.6476463
15,109.7918626
16,116.3670564
17,127.2384454
18,114.9001823
19,118.3393637
20,121.0495387
21,124.0425811
22,130.6804014
23,111.6238694
24,118.8790819
25,112.0699755
26,111.1102436
27,116.3652523
28,124.08576
29,112.2909992
30,114.5912275
31,116.7905775
32,122.3072614
33,119.917177
34,109.7070525
35,115.7319496
36,119.0037855
37,118.707672
38,122.3820242
39,110.931797
40,126.8445389
41,110.2344929
42,111.9579448
43,119.2534059
44,127.6821727
45,120.6815277
46,112.7972028
47,115.3735215
48,130.5962997
49,112.0335965
50,109.6659647
51,109.9828766
52,107.3780794
53,115.1183784
54,116.8169746
55,119.3803202
56,109.5845331
57,116.3327011
58,109.0442684
59,115.3853237
60,113.7860924
61,112.2325283
62,112.1633269
63,107.1303207
64,119.4005874
65,122.6369002
66,109.0975208
67,122.8354169
68,128.4594829
69,115.7652375
70,110.1282051
71,119.7064527
72,121.8922306
73,120.0196818
74,113.3330487
75,120.3654148
76,121.9682092
77,116.5277703
78,117.953911
79,115.9298643
80,123.4716854
81,122.4159678
82,115.1602664
83,123.6529538
84,116.6125565
85,123.6840022
86,121.899024
87,123.2814819
88,121.0456393
89,112.3061264
90,123.8883721
91,113.9480841
92,125.5250503
93,112.0611699
94,129.3583828
95,108.6278102
96,122.0194325
97,115.5087499
98,112.6984127
99,116.7618329
100,116.8132695
101,127.1839654
102,122.8209854
103,114.8374723
104,114.9044025
105,125.4602958
106,123.3518363
107,104.7222222
108,125.6136843
109,109.368849
110,112.6246067
111,129.0945027
112,114.8867394
113,114.0971069
114,135.3388826
115,133.0132817
116,112.4494855
117,124.1728415
118,126.9319483
119,110.6968848
120,123.7315179
121,118.158802
122,118.475161
123,120.1040712
124,113.7114338
125,108.7588289
126,112.0065023
127,119.9049891
128,115.1123283
129,105.4700855
130,122.1489087
131,111.5178337
132,123.3083011
133,110.837576
134,109.2717087
135,114.7364344
136,132.3256246
137,119.0692963
138,109.0909091
139,125.476326
140,109.3382321
141,123.6100741
142,127.7029671
143,119.4832879
144,113.6660508
145,126.7137705
146,105.5555556
147,113.9357057
148,127.6881497
149,124.361767
150,115.5119475
151,124.3354793
152,112.4944517
153,120.7350598
154,124.6298588
155,109.0578866
156,114.8872266
157,110.7575758
158,108.1453634
159,116.6470613
160,120.7252598
161,107.0773722
162,106.2626272
163,109.2929293
164,113.5861412
165,118.6716026
166,108.0555556
167,113.4313725
168,114.5468675
169,116.729385
170,112.0416491
171,110.510018
172,110.8376754
173,118.1090914
174,121.139546
175,108.1452456
176,107.4358974
177,121.8600832
178,107.1229769
179,120.8022186
180,121.0034598
181,110.2021823
182,116.934217
